MX,MY,PVAL
400,60,0.0000
400,70,0.0000
400,80,0.0000
400,90,0.0000
400,100,0.0000
400,125,0.0000
400,150,0.0000
400,200,0.0000
400,250,0.0000
500,60,0.0000
500,70,0.0000
500,80,0.0000
500,90,0.0000
500,100,0.0000
500,125,0.0000
500,150,0.0000
500,200,0.0000
500,250,0.0000
500,300,0.0000
600,60,0.0000
600,70,0.0000
600,80,0.0000
600,90,0.0000
600,100,0.0000
600,125,0.0000
600,150,0.0000
600,200,0.0000
600,250,0.0000
600,300,0.0000
600,400,0.0000
700,60,0.0566
700,70,0.0660
700,80,0.0613
700,90,0.0711
700,100,0.0885
700,125,0.1139
700,150,0.1338
700,200,0.0800
700,250,0.1428
700,300,0.0862
700,400,0.0779
700,500,0.2776
800,60,0.0605
800,70,0.0521
800,80,0.0599
800,90,0.0849
800,100,0.1045
800,125,0.0942
800,150,0.1009
800,200,0.0896
800,250,0.0554
800,300,0.1236
800,400,0.2262
800,500,0.2569
800,600,0.2080
900,60,0.6291
900,70,0.6438
900,80,0.6603
900,90,0.7116
900,100,0.7615
900,125,0.7462
900,150,0.7680
900,200,0.7161
900,250,0.6619
900,300,0.6478
900,400,0.6405
900,500,0.6450
900,600,0.6632
900,700,0.6365
1000,60,0.7909
1000,70,0.6220
1000,80,0.7761
1000,90,0.7680
1000,100,0.7759
1000,125,0.8202
1000,150,1.0000
1000,200,0.6987
1000,250,0.6683
1000,300,0.6765
1000,400,0.6595
1000,500,0.6687
1000,600,0.6590
1000,700,0.6175
1000,800,0.6278
1100,90,0.5808
1100,100,0.5903
1100,125,0.5817
1100,150,0.5486
1100,200,0.4569
1100,250,0.4301
1100,300,0.3927
1100,400,0.3991
1100,500,0.3835
1100,600,0.3849
1100,700,0.3597
1100,800,0.3496
1100,900,0.3621
1200,90,0.5421
1200,100,0.5609
1200,125,0.5961
1200,150,0.5908
1200,200,0.4554
1200,250,0.4180
1200,300,0.3913
1200,400,0.3782
1200,500,0.3833
1200,600,0.3850
1200,700,0.3691
1200,800,0.3880
1200,900,0.3777
1200,1000,0.3509
1400,90,0.5102
1400,100,0.4631
1400,125,0.5055
1400,150,0.5198
1400,200,0.4242
1400,250,0.3772
1400,300,0.4381
1400,400,0.3936
1400,500,0.3648
1400,600,0.4002
1400,700,0.3764
1400,800,0.4193
1400,900,0.3729
1400,1000,0.3623
1400,1200,0.3825
1600,90,0.0000
1600,100,0.0000
1600,125,0.0000
1600,150,0.0000
1600,200,0.0000
1600,250,0.0000
1600,300,0.0000
1600,400,0.0000
1600,500,0.0000
1600,600,0.0000
1600,700,0.0000
1600,800,0.0000
1600,900,0.0000
1600,1000,0.0000
1600,1200,0.0000
1600,1400,0.0000
