MX,MY,PVAL
400,60,0.0000
400,70,0.0000
400,80,0.0000
400,90,0.0012
400,100,0.0000
400,125,0.0000
400,150,0.0000
400,200,0.0000
400,250,0.0000
500,60,0.0000
500,70,0.0000
500,80,0.0000
500,90,0.0000
500,100,0.0000
500,125,0.0000
500,150,0.0000
500,200,0.0000
500,250,0.0000
500,300,0.0000
600,60,0.0000
600,70,0.0000
600,80,0.0000
600,90,0.0000
600,100,0.0000
600,125,0.0000
600,150,0.0000
600,200,0.0000
600,250,0.0000
600,300,0.0000
600,400,0.0000
700,60,0.0013
700,70,0.0000
700,80,0.0000
700,90,0.0000
700,100,0.0000
700,125,0.0000
700,150,0.0000
700,200,0.0000
700,250,0.0000
700,300,0.0000
700,400,0.0000
700,500,0.0000
800,60,0.0000
800,70,0.0000
800,80,0.0000
800,90,0.0000
800,100,0.0000
800,125,0.0000
800,150,0.0000
800,200,0.0000
800,250,0.0012
800,300,0.0000
800,400,0.0000
800,500,0.0000
800,600,0.0000
900,60,0.1910
900,70,0.1824
900,80,0.1766
900,90,0.1889
900,100,0.1870
900,125,0.1697
900,150,0.1922
900,200,0.1925
900,250,0.1851
900,300,0.1901
900,400,0.1859
900,500,0.1860
900,600,0.2070
900,700,0.2064
1000,60,0.2670
1000,70,0.2604
1000,80,0.2391
1000,90,0.2319
1000,100,0.2083
1000,125,0.1680
1000,150,0.1775
1000,200,0.1942
1000,250,0.1728
1000,300,0.2120
1000,400,0.1954
1000,500,0.1987
1000,600,0.1827
1000,700,0.1993
1000,800,0.2080
1100,90,0.4190
1100,100,0.3311
1100,125,0.3086
1100,150,0.3015
1100,200,0.3251
1100,250,0.3195
1100,300,0.3205
1100,400,0.3093
1100,500,0.2964
1100,600,0.3362
1100,700,0.2896
1100,800,0.2961
1100,900,0.3170
1200,90,0.3395
1200,100,0.3590
1200,125,0.3021
1200,150,0.3155
1200,200,0.3025
1200,250,0.3091
1200,300,0.3478
1200,400,0.2986
1200,500,0.2986
1200,600,0.3076
1200,700,0.3175
1200,800,0.3000
1200,900,0.3257
1200,1000,0.3374
1400,90,0.3358
1400,100,0.3408
1400,125,0.3034
1400,150,0.3136
1400,200,0.2934
1400,250,0.2820
1400,300,0.3183
1400,400,0.3127
1400,500,0.3091
1400,600,0.3139
1400,700,0.3280
1400,800,0.3126
1400,900,0.3179
1400,1000,0.3424
1400,1200,0.3245
1600,90,0.0444
1600,100,0.0269
1600,125,0.0270
1600,150,0.0235
1600,200,0.0316
1600,250,0.0348
1600,300,0.0225
1600,400,0.0270
1600,500,0.0247
1600,600,0.0270
1600,700,0.0392
1600,800,0.0281
1600,900,0.0223
1600,1000,0.0192
1600,1200,0.0258
1600,1400,0.0361
