MX,MY,PVAL
400,60,0.0025
400,70,0.0000
400,80,0.0281
400,90,0.0012
400,100,0.0000
400,125,0.0429
400,150,0.0000
400,200,0.0484
400,250,0.0000
500,60,0.0000
500,70,0.0000
500,80,0.0012
500,90,0.0781
500,100,0.0021
500,125,0.0000
500,150,0.0000
500,200,0.0000
500,250,0.0013
500,300,0.0027
600,60,0.0000
600,70,0.0520
600,80,0.0012
600,90,0.0000
600,100,0.0000
600,125,0.0337
600,150,0.0000
600,200,0.0000
600,250,0.0000
600,300,0.0254
600,400,0.0490
700,60,0.0023
700,70,0.0036
700,80,0.0035
700,90,0.0059
700,100,0.0024
700,125,0.0035
700,150,0.0012
700,200,0.0023
700,250,0.0023
700,300,0.0047
700,400,0.0070
700,500,0.0082
800,60,0.0035
800,70,0.0094
800,80,0.0082
800,90,0.0024
800,100,0.0023
800,125,0.0023
800,150,0.0035
800,200,0.0059
800,250,0.0047
800,300,0.0023
800,400,0.0035
800,500,0.0070
800,600,0.0058
900,60,0.1411
900,70,0.1677
900,80,0.2054
900,90,0.2069
900,100,0.1696
900,125,0.1409
900,150,0.1545
900,200,0.1443
900,250,0.1467
900,300,0.1573
900,400,0.1560
900,500,0.1626
900,600,0.1546
900,700,0.1524
1000,60,0.1679
1000,70,0.1593
1000,80,0.1776
1000,90,0.1665
1000,100,0.1740
1000,125,0.1460
1000,150,1.0000
1000,200,0.1522
1000,250,0.1565
1000,300,0.1585
1000,400,0.1523
1000,500,0.1454
1000,600,0.1724
1000,700,0.1842
1000,800,0.1810
1100,90,0.2124
1100,100,0.2070
1100,125,0.1961
1100,150,0.2328
1100,200,0.2289
1100,250,0.2445
1100,300,0.2132
1100,400,0.2345
1100,500,0.2255
1100,600,0.1945
1100,700,0.2401
1100,800,0.2903
1100,900,0.2493
1200,90,0.2418
1200,100,0.2338
1200,125,0.2163
1200,150,0.2447
1200,200,0.2200
1200,250,0.2379
1200,300,0.2294
1200,400,0.2010
1200,500,0.2283
1200,600,0.2358
1200,700,0.2287
1200,800,0.2118
1200,900,0.3055
1200,1000,0.2184
1400,90,0.2360
1400,100,0.2218
1400,125,0.2139
1400,150,0.1737
1400,200,0.2177
1400,250,0.2272
1400,300,0.2202
1400,400,0.2064
1400,500,0.2384
1400,600,0.2066
1400,700,0.2233
1400,800,0.2140
1400,900,0.2562
1400,1000,0.2544
1400,1200,0.2310
1600,90,0.1545
1600,100,0.1589
1600,125,0.0082
1600,150,0.1374
1600,200,0.1470
1600,250,0.1343
1600,300,0.1531
1600,400,0.1585
1600,500,0.1577
1600,600,0.1383
1600,700,0.1503
1600,800,0.1519
1600,900,0.1415
1600,1000,0.0059
1600,1200,0.0072
1600,1400,0.1560
