Data largest local sign:
1 3.91175 700 400
MC toys above max local
1 4.51275 1100 900
1 4.01925 1100 800
1 4.02075 600 400
1 4.02175 700 400
1 3.99975 800 500
1 4.16225 700 400
1 4.39725 1200 900
1 4.09975 1200 900
1 4.17525 700 400
1 3.95925 600 300
1 4.35325 650 400
1 4.82675 650 450
1 4.31325 500 250
1 4.07425 500 300
1 4.48825 650 350
1 3.98325 650 400
1 3.94175 700 500
1 4.14425 1600 1000
1 4.15875 1200 900
1 4.02375 700 400
1 3.92925 600 400
1 4.04375 650 400
1 4.03675 600 300
1 4.06775 1400 1000
1 4.22125 900 600
1 4.01175 650 350
1 3.94625 650 400
1 4.04875 700 400
1 4.32825 650 350
1 4.13725 1200 900
1 4.59025 650 400
1 4.03425 650 450
1 4.04525 1200 900
1 3.93175 1100 700
1 4.70125 600 400
1 4.01925 1100 900
1 4.07125 800 500
1 4.17175 700 400
1 4.33575 650 350
1 4.75175 1600 1200
1 4.43525 650 400
1 4.17275 500 300
1 3.95125 1200 900
1 4.18475 1200 900
1 4.01325 500 250
1 4.17875 1100 900
1 4.13325 650 350
1 4.17125 1100 900
1 4.00175 650 300
1 3.93175 600 400
1 4.01575 1200 900
1 4.10725 1200 900
1 4.11775 700 400
1 3.95775 650 400
1 3.97175 650 350
1 4.01125 1200 1000
