Data largest local sign:
1 -4.29817 600 125
MC toys below min local
1 -4.40853 500 90
1 -4.35521 1000 60
1 -4.42651 1100 125
1 -4.67203 1400 900
1 -4.78859 1200 125
1 -4.63607 600 125
1 -4.43643 800 70
1 -4.58895 1400 150
1 -4.30809 650 190
1 -4.30313 1200 90
1 -4.78797 400 150
1 -4.40791 600 70
1 -4.54183 600 80
1 -4.73031 1200 90
1 -4.55485 600 400
1 -4.33289 500 300
1 -4.75945 1200 125
1 -5.00373 800 500
1 -4.58151 1400 250
1 -4.31615 650 400
1 -4.41783 1100 90
1 -4.39427 650 80
1 -4.59205 1200 150
1 -4.36885 1100 100
1 -4.49099 1000 600
1 -5.30133 1400 125
1 -4.36823 1000 60
1 -4.42341 1600 600
1 -4.60321 800 200
1 -4.33971 1400 90
1 -4.52261 650 350
1 -4.49781 900 70
1 -4.44945 1000 800
1 -4.32421 1000 70
1 -4.37629 500 60
1 -4.77371 1600 600
1 -4.68939 700 150
1 -4.33351 400 200
1 -4.44635 400 150
1 -4.61747 650 400
1 -4.43023 900 60
1 -5.53941 650 150
1 -4.48231 1000 500
1 -4.51331 1000 60
1 -4.51641 650 450
1 -4.86175 900 600
1 -4.41287 650 400
1 -4.43209 1100 400
1 -4.40171 1400 125
1 -4.46433 1000 400
1 -4.30995 1100 90
1 -4.54555 1000 60
1 -4.35149 650 90
1 -4.62739 1200 90
1 -4.41535 400 150
1 -4.47301 1400 125
1 -4.63855 500 150
1 -4.49595 800 600
1 -4.30065 900 80
1 -4.83137 900 150
