File name: lee_sign_all_neg.root
Data largest local sign:
1 -4.29825 600 125
MC toys below min local
1 -4.37025 600 150
1 -4.52775 400 250
1 -4.44225 600 150
1 -4.59675 600 150
1 -4.41075 600 150
1 -4.43475 600 150
1 -4.36875 600 150
1 -4.30575 600 125
1 -4.55475 600 150
1 -5.00175 400 250
1 -5.22225 400 250
1 -4.54425 600 125
1 -4.29975 400 250
1 -4.65375 600 125
1 -4.32825 600 150
1 -4.49025 400 250
1 -4.35975 400 250
1 -4.63275 400 250
1 -4.50225 600 125
1 -4.38225 600 125
1 -4.35975 600 125
1 -5.27475 400 250
1 -4.43025 400 250
1 -4.41975 600 150
1 -4.44375 400 250
1 -4.34625 400 250
1 -4.52175 400 250
1 -4.38675 400 250
1 -4.78275 600 150
1 -4.46025 400 250
1 -4.53225 400 250
1 -4.43025 400 250
1 -4.34925 400 250
1 -4.61625 400 250
1 -4.93125 400 250
1 -4.39725 600 150
1 -4.51875 600 150
1 -4.32525 400 250
1 -4.90875 400 250
1 -4.45125 400 250
1 -4.32375 400 250
1 -4.46325 400 250
1 -4.71825 600 125
1 -4.38075 600 150
1 -4.46775 600 150
1 -4.42875 400 250
1 -4.53225 400 250
1 -4.37175 400 250
1 -4.63125 400 250
1 -4.49475 600 150
1 -4.37325 600 150
1 -4.48575 600 150
1 -4.53375 400 250
1 -4.81725 600 125
1 -4.69575 400 250
1 -4.78425 400 250
1 -4.47675 400 250
1 -4.35825 600 150
1 -4.31175 400 250
1 -4.33875 600 125
1 -4.50225 400 250
1 -4.35825 600 125
1 -4.51275 600 150
1 -4.61475 400 250
1 -4.36575 600 125
1 -4.65975 400 250
1 -4.67925 400 250
1 -4.60425 600 125
1 -4.32225 650 150
1 -4.34925 400 250
1 -4.47975 600 125
1 -4.55775 600 125
1 -4.44825 600 125
1 -4.82325 400 250
1 -4.35825 400 250
1 -4.41825 400 250
1 -4.80075 600 125
1 -4.45575 600 150
1 -4.36275 400 250
1 -4.42725 400 250
1 -4.35675 400 250
1 -4.38525 600 150
1 -4.30725 400 250
1 -4.51725 600 125
1 -4.32375 600 125
1 -4.73175 400 250
1 -5.35575 400 250
1 -4.61325 600 150
1 -4.55775 600 125
1 -4.43625 400 250
1 -4.39125 600 150
1 -4.61325 400 250
1 -4.35225 400 250
1 -4.39575 400 250
1 -4.39875 400 250
1 -4.70925 400 250
1 -4.70925 600 150
1 -4.81875 400 250
1 -4.45575 600 150
1 -4.31625 600 150
1 -4.35075 600 125
1 -4.41525 400 250
1 -5.16225 400 250
1 -4.36275 400 250
1 -4.62825 400 250
1 -4.39575 600 150
1 -4.46925 400 250
1 -4.33875 600 125
1 -4.58925 600 125
1 -4.66275 600 150
1 -4.88925 400 250
1 -5.05575 600 125
1 -4.33575 600 125
1 -4.31775 400 250
1 -4.43175 600 150
1 -4.34175 600 150
1 -4.43175 600 150
1 -4.87575 600 150
1 -4.89675 600 125
1 -4.44375 600 125
1 -4.74225 400 250
1 -4.45425 400 250
1 -4.39425 400 250
1 -4.34775 400 250
1 -5.16075 400 250
1 -4.55025 600 125
1 -4.63275 400 250
1 -4.39725 600 150
1 -4.56375 600 150
1 -4.59225 600 150
1 -4.40625 600 150
1 -4.52175 600 150
1 -4.36275 400 250
1 -4.41825 400 250
1 -4.46775 600 150
1 -4.41675 400 250
1 -5.23575 400 250
1 -4.48725 400 250
1 -4.74675 400 250
1 -4.30575 600 125
1 -4.98975 400 250
1 -4.36575 600 125
1 -4.40925 600 150
1 -4.31925 400 250
1 -4.31325 600 150
1 -4.38825 400 250
1 -4.39575 400 250
1 -4.70625 600 125
1 -4.41225 600 125
1 -4.69125 600 125
1 -4.36125 400 250
1 -4.82475 600 125
1 -4.34775 400 250
1 -4.43175 600 150
1 -4.36125 400 250
1 -4.43325 400 250
1 -4.43175 400 250
1 -4.74825 400 250
1 -4.43475 600 150
1 -4.39575 400 250
1 -4.34025 600 150
1 -4.64775 400 250
1 -4.44225 600 125
1 -4.31175 400 250
1 -4.50075 600 150
1 -4.32075 600 150
1 -4.59975 400 250
1 -4.50975 400 250
1 -4.77375 600 150
1 -5.05725 400 250
1 -5.12775 400 250
1 -4.94625 400 250
1 -4.48125 400 250
1 -4.63875 600 125
1 -4.51275 600 125
1 -4.41825 400 250
1 -4.40325 600 125
1 -4.46175 600 150
1 -4.46475 400 250
1 -4.44075 600 150
1 -4.54425 400 250
1 -4.34925 400 250
1 -4.40175 400 250
1 -4.32975 400 250
1 -4.48275 400 250
1 -4.30275 600 150
1 -4.37775 400 250
1 -4.46025 600 150
1 -4.37775 400 250
1 -4.31475 600 125
1 -4.74525 600 125
1 -4.32675 600 125
1 -4.53975 400 250
1 -4.72275 400 250
1 -4.56075 400 250
1 -4.30125 600 150
1 -4.52625 400 250
1 -5.09325 400 250
1 -4.64325 400 250
1 -4.31475 600 150
1 -4.35825 600 125
1 -4.46625 400 250
1 -4.72575 400 250
1 -5.18175 600 125
1 -4.61775 400 250
1 -4.41225 600 150
1 -4.86225 600 125
1 -4.75875 400 250
1 -4.36725 600 150
1 -4.54575 600 125
1 -4.30275 600 125
1 -4.57425 600 125
1 -4.30875 600 150
1 -4.32375 400 250
1 -4.47675 600 150
1 -4.72125 600 125
1 -4.39575 600 150
1 -4.33575 600 150
1 -4.33125 400 250
1 -4.53825 600 125
1 -4.46625 600 150
1 -4.60275 600 150
1 -4.30425 600 125
1 -4.81275 400 250
1 -4.87875 600 150
1 -4.33425 400 250
1 -4.68675 400 250
1 -4.51875 600 125
1 -4.59675 600 150
1 -4.38675 600 150
1 -4.36275 600 150
1 -4.30425 400 250
1 -4.62075 400 250
1 -4.44375 400 250
1 -4.45725 400 250
1 -4.34325 400 250
1 -4.87725 400 250
1 -4.69425 400 250
1 -4.61475 400 250
1 -4.32525 400 250
1 -4.73925 400 250
1 -4.94925 400 250
1 -4.63725 400 250
1 -4.52475 600 150
1 -4.38225 600 150
1 -4.43025 650 150
1 -4.83375 400 250
1 -4.49025 600 125
1 -4.66875 400 250
1 -4.75875 400 250
1 -5.02725 400 250
1 -4.30725 600 125
1 -4.49775 400 250
1 -4.55925 400 250
1 -4.65975 600 150
1 -4.36125 600 150
1 -4.56525 400 250
1 -4.68975 400 250
1 -4.69575 400 250
1 -4.43925 600 125
1 -4.31925 400 250
1 -4.37025 600 125
1 -4.43925 400 250
1 -4.62375 600 150
1 -4.35375 400 250
1 -4.55475 600 150
1 -4.94625 400 250
1 -4.44375 400 250
1 -4.92075 400 250
1 -4.56225 600 125
1 -4.48125 400 250
1 -4.39425 400 250
1 -4.71225 400 250
1 -4.60125 400 250
1 -4.61625 400 250
1 -4.58775 600 150
1 -4.33125 400 250
1 -4.54425 600 125
1 -4.35225 600 150
1 -4.53075 400 250
1 -4.66125 600 150
1 -5.03325 400 250
1 -4.32225 600 150
1 -4.36125 400 250
1 -4.35075 600 125
1 -4.61025 600 125
1 -4.49625 400 250
1 -4.36275 400 250
1 -4.85325 400 250
1 -4.33725 600 150
1 -4.96875 600 125
1 -4.50075 600 125
1 -5.07675 400 250
1 -4.57875 400 250
1 -4.41375 600 150
1 -4.82025 400 250
1 -4.58775 600 150
1 -4.31625 400 250
