File name: lee_sign_all_neg.root
Data largest local sign: 
1 -7.0425 -4 -4
MC toys below min local 

1 -3.31125 600 125

1 -3.55425 400 250

1 -3.28575 600 150

1 -3.33525 400 250

1 -3.45525 400 250

1 -2.94975 600 150

1 -3.44475 1400 150

1 -3.25275 600 150

1 -4.37025 600 150

1 -3.20625 1000 250

1 -3.32625 400 250

1 -2.42625 600 150

1 -3.29175 600 150

1 -3.27375 1100 100

1 -3.06375 600 125

1 -3.51975 600 125

1 -3.15825 600 150

1 -3.01125 400 250

1 -3.17175 600 150

1 -3.37875 600 125

1 -3.36525 1000 150

1 -3.51225 400 250

1 -3.28125 600 150

1 -4.10625 400 250

1 -3.68025 600 125

1 -3.01425 400 250

1 -3.04725 700 150

1 -3.25875 600 125

1 -2.79975 600 150

1 -4.52775 400 250

1 -3.12225 600 150

1 -3.99525 600 125

1 -3.52125 400 250

1 -3.73425 600 125

1 -3.08025 400 250

1 -3.92325 600 125

1 -3.87375 600 150

1 -3.20325 600 150

1 -3.29475 600 125

1 -3.38775 600 150

1 -3.53475 400 250

1 -3.41325 600 150

1 -4.44225 600 150

1 -2.91675 1000 150

1 -3.45075 600 150

1 -4.59675 600 150

1 -3.39225 600 125

1 -3.23025 600 150

1 -3.38175 600 150

1 -3.48825 1400 200

1 -2.73525 800 150

1 -3.77925 600 150

1 -3.29325 400 250

1 -4.23225 400 250

1 -3.25125 800 150

1 -3.28125 600 150

1 -3.44925 400 250

1 -3.48675 400 250

1 -4.41075 600 150

1 -2.74425 400 200

1 -4.06875 400 250

1 -3.12975 600 150

1 -3.48675 600 150

1 -3.72825 400 250

1 -2.99625 400 250

1 -3.83175 600 150

1 -3.96675 600 125

1 -3.50475 600 150

1 -3.82725 600 150

1 -3.88275 600 150

1 -3.20175 600 125

1 -4.04475 600 125

1 -2.89575 700 125

1 -3.42975 600 125

1 -3.03975 400 250

1 -4.18875 400 250

1 -3.97275 600 125

1 -3.16125 400 250

1 -3.36375 600 125

1 -3.41475 600 125

1 -3.32175 400 250

1 -3.12525 400 250

1 -3.78225 400 250

1 -3.86175 600 150

1 -3.23775 600 150

1 -3.34725 600 150

1 -3.56625 600 125

1 -3.69375 400 250

1 -2.67825 600 125

1 -4.00125 600 125

1 -3.81975 600 150

1 -3.09825 600 150

1 -2.90325 700 125

1 -3.07275 600 125

1 -3.27075 600 125

1 -3.18975 600 150

1 -3.50175 600 150

1 -3.87075 600 125

1 -3.35775 600 125

1 -3.20925 600 125

1 -3.28875 400 250

1 -3.45375 600 150

1 -2.75175 600 125

1 -3.57075 600 125

1 -4.16625 600 150

1 -3.90975 600 150

1 -3.36525 600 150

1 -3.63525 650 150

1 -3.16275 600 150

1 -3.26325 650 125

1 -2.24025 400 60

1 -3.38175 700 150

1 -3.36975 600 150

1 -2.82825 700 125

1 -2.98725 600 150

1 -3.23925 600 150

1 -3.86025 600 125

1 -3.53175 400 250

1 -3.16575 600 150

1 -4.03275 600 125

1 -3.17475 600 125

1 -3.72525 600 125

1 -3.63075 400 250

1 -3.53925 600 150

1 -2.95425 600 150

1 -3.12075 600 125

1 -2.90925 400 250

1 -2.88675 700 150

1 -2.73675 600 150

1 -3.17775 600 125

1 -3.88125 600 125

1 -3.78225 400 250

1 -2.76375 700 150

1 -3.07425 600 150

1 -3.87225 600 150

1 -3.54675 600 125

1 -3.75075 400 250

1 -2.77725 400 250

1 -2.92575 400 250

1 -3.67875 600 150

1 -3.14925 600 150

1 -2.61675 600 150

1 -3.23175 600 150

1 -3.45825 600 125

1 -3.31725 600 150

1 -3.93525 600 150

1 -3.46275 600 150

1 -3.29025 400 250

1 -2.83725 400 125

1 -3.21825 600 125

1 -3.40725 600 150

1 -3.18975 600 125

1 -3.59475 600 150

1 -3.08625 400 250

1 -4.43475 600 150

1 -2.95275 400 250

1 -3.10275 600 150

1 -3.07575 400 250

1 -4.36875 600 150

1 -3.17175 600 125

1 -3.62025 400 250

1 -2.41725 400 250

1 -2.80875 400 250

1 -3.06375 400 125

1 -3.72225 650 125

1 -4.18125 650 150

1 -3.74175 900 200

1 -4.08825 600 150

1 -4.28775 600 125

1 -3.09525 400 250

1 -3.19725 400 250

1 -3.41025 400 250

1 -2.73375 800 150

1 -3.70575 600 150

1 -3.64275 600 150

1 -4.19025 600 125

1 -2.99625 650 125

1 -3.48675 600 125

1 -3.47325 600 150

1 -3.43725 600 125

1 -4.25025 600 125

1 -3.10575 600 150

1 -4.19625 400 250

1 -3.38175 400 250

1 -3.24375 400 250

1 -2.96625 650 125

1 -3.55425 400 250

1 -3.72225 600 150

1 -3.94725 600 150

1 -4.30575 600 125

1 -4.08825 400 250

1 -3.03075 650 125

1 -3.97875 600 125

1 -3.92025 600 125

1 -3.89625 400 250

1 -2.99475 650 150

1 -3.20175 400 250

1 -3.09825 600 125

1 -2.53425 600 125

1 -2.85825 1000 150

1 -3.50025 600 125

1 -3.21375 400 250

1 -3.47175 650 125

1 -3.20025 600 125

1 -3.92325 600 150

1 -3.96225 600 125

1 -3.71925 600 125

1 -3.36975 600 150

1 -4.55475 600 150

1 -2.69775 650 150

1 -2.77425 600 150

1 -3.94275 600 150

1 -3.88125 600 150

1 -3.08025 1000 150

1 -3.21675 600 150

1 -3.16725 600 150

1 -3.57375 700 125

