sig, CR, VR, SR, CR_TrigCut, VR_TrigCut, SR_TrigCut, CR_ratio, VR_ratio, SR_ratio
sig_NMSSM_bbbb_MX_400_MY_60, 864.0, 1301.0, 15551.0, 863.0, 1293.0, 15413.0, 0.998842592593, 0.993850883935, 0.991125972606
sig_NMSSM_bbbb_MX_400_MY_70, 946.0, 1217.0, 15068.0, 943.0, 1206.0, 14921.0, 0.996828752643, 0.990961380444, 0.990244226175
sig_NMSSM_bbbb_MX_400_MY_80, 917.0, 1245.0, 15172.0, 915.0, 1240.0, 14998.0, 0.997818974918, 0.995983935743, 0.988531505405
sig_NMSSM_bbbb_MX_400_MY_90, 696.0, 1262.0, 14892.0, 692.0, 1251.0, 14719.0, 0.994252873563, 0.991283676704, 0.988383024443
sig_NMSSM_bbbb_MX_400_MY_100, 398.0, 1040.0, 15040.0, 395.0, 1034.0, 14878.0, 0.992462311558, 0.994230769231, 0.989228723404
sig_NMSSM_bbbb_MX_400_MY_125, 224.0, 529.0, 15494.0, 223.0, 523.0, 15317.0, 0.995535714286, 0.988657844991, 0.988576223054
sig_NMSSM_bbbb_MX_400_MY_150, 453.0, 1027.0, 14620.0, 453.0, 1019.0, 14404.0, 1.0, 0.992210321324, 0.985225718194
sig_NMSSM_bbbb_MX_400_MY_200, 556.0, 860.0, 10108.0, 554.0, 855.0, 9951.0, 0.996402877698, 0.994186046512, 0.984467748318
sig_NMSSM_bbbb_MX_400_MY_250, 514.0, 813.0, 9707.0, 512.0, 806.0, 9571.0, 0.996108949416, 0.991389913899, 0.985989492119
sig_NMSSM_bbbb_MX_500_MY_60, 1502.0, 2361.0, 19946.0, 1493.0, 2351.0, 19869.0, 0.994007989348, 0.995764506565, 0.996139576858
sig_NMSSM_bbbb_MX_500_MY_70, 2029.0, 2771.0, 22792.0, 2025.0, 2764.0, 22729.0, 0.99802858551, 0.99747383616, 0.997235872236
sig_NMSSM_bbbb_MX_500_MY_80, 1962.0, 3003.0, 23143.0, 1961.0, 2990.0, 23072.0, 0.999490316004, 0.995670995671, 0.996932117703
sig_NMSSM_bbbb_MX_500_MY_90, 1463.0, 3115.0, 23299.0, 1457.0, 3105.0, 23224.0, 0.995898838004, 0.996789727127, 0.996780977724
sig_NMSSM_bbbb_MX_500_MY_100, 795.0, 2627.0, 25454.0, 793.0, 2618.0, 25358.0, 0.99748427673, 0.996574038828, 0.996228490611
sig_NMSSM_bbbb_MX_500_MY_125, 328.0, 991.0, 26851.0, 326.0, 987.0, 26747.0, 0.993902439024, 0.995963673058, 0.996126773677
sig_NMSSM_bbbb_MX_500_MY_150, 819.0, 1984.0, 25135.0, 817.0, 1976.0, 25017.0, 0.997557997558, 0.995967741935, 0.995305351104
sig_NMSSM_bbbb_MX_500_MY_200, 1522.0, 2388.0, 25075.0, 1512.0, 2372.0, 24946.0, 0.993429697766, 0.993299832496, 0.994855433699
sig_NMSSM_bbbb_MX_500_MY_250, 1410.0, 2453.0, 24936.0, 1403.0, 2440.0, 24760.0, 0.995035460993, 0.994700366898, 0.992941931344
sig_NMSSM_bbbb_MX_500_MY_300, 1391.0, 1987.0, 20723.0, 1381.0, 1976.0, 20556.0, 0.99281092739, 0.994464016105, 0.991941321237
sig_NMSSM_bbbb_MX_600_MY_60, 1836.0, 2588.0, 19024.0, 1830.0, 2577.0, 18984.0, 0.996732026144, 0.995749613601, 0.997897392767
sig_NMSSM_bbbb_MX_600_MY_70, 2930.0, 3784.0, 27754.0, 2924.0, 3774.0, 27692.0, 0.99795221843, 0.997357293869, 0.997766087771
